LevelDB:    version 1.23
Date:       Thu Jul 30 08:18:54 2026
CPU:        32 * 13th Gen Intel(R) Core(TM) i9-13980HX
CPUCache:   36864 KB
... finished 100 ops                              
... finished 200 ops                              
... finished 300 ops                              
... finished 400 ops                              
long op: 41220.0 micros                              
long op: 27854.0 micros                              
long op: 32445.0 micros                              
long op: 30574.0 micros                              
long op: 21890.0 micros                              
long op: 22630.0 micros                              
long op: 2933263.0 micros                              
... finished 150000 ops                              
long op: 22309.0 micros                              
long op: 24735.0 micros                              
long op: 39981.0 micros                              
long op: 31344.0 micros                              
long op: 21928.0 micros                              
long op: 30836.0 micros                              
long op: 38575.0 micros                              
long op: 20913.0 micros                              
long op: 47398.0 micros                              
long op: 21015.0 micros                              
long op: 34121.0 micros                              
long op: 30178.0 micros                              
long op: 31942.0 micros                              
long op: 22341.0 micros                              
long op: 23626.0 micros                              
long op: 26551.0 micros                              
long op: 28929.0 micros                              
long op: 21073.0 micros                              
long op: 29480.0 micros                              
long op: 28066.0 micros                              
long op: 28864.0 micros                              
long op: 30128.0 micros                              
long op: 27890.0 micros                              
long op: 30496.0 micros                              
long op: 23383.0 micros                              
long op: 43229.0 micros                              
long op: 37560.0 micros                              
long op: 24981.0 micros                              
long op: 2946200.0 micros                              
long op: 20413.0 micros                              
long op: 29279.0 micros                              
long op: 37354.0 micros                              
long op: 22298.0 micros                              
long op: 22265.0 micros                              
long op: 30372.0 micros                              
long op: 32468.0 micros                              
long op: 33013.0 micros                              
long op: 21476.0 micros                              
long op: 27549.0 micros                              
long op: 25192.0 micros                              
long op: 34913.0 micros                              
long op: 22926.0 micros                              
long op: 41214.0 micros                              
long op: 32949.0 micros                              
long op: 27324.0 micros                              
long op: 28306.0 micros                              
long op: 34387.0 micros                              
long op: 28204.0 micros                              
long op: 21133.0 micros                              
long op: 27649.0 micros                              
long op: 37242.0 micros                              
long op: 38326.0 micros                              
long op: 40530.0 micros                              
long op: 22401.0 micros                              
long op: 28760.0 micros                              
long op: 20694.0 micros                              
long op: 22750.0 micros                              
long op: 20487.0 micros                              
long op: 23795.0 micros                              
long op: 26945.0 micros                              
long op: 32266.0 micros                              
long op: 30745.0 micros                              
long op: 27653.0 micros                              
long op: 21448.0 micros                              
long op: 22505.0 micros                              
long op: 45250.0 micros                              
long op: 49618.0 micros                              
long op: 21167.0 micros                              
long op: 22883.0 micros                              
long op: 32089.0 micros                              
long op: 22106.0 micros                              
long op: 23455.0 micros                              
long op: 20079.0 micros                              
long op: 21257.0 micros                              
long op: 28895.0 micros                              
long op: 52163.0 micros                              
... finished 200000 ops                              
long op: 55945.0 micros                              
long op: 23609.0 micros                              
long op: 26477.0 micros                              
long op: 28877.0 micros                              
long op: 21149.0 micros                              
long op: 21951.0 micros                              
long op: 26208.0 micros                              
long op: 29478.0 micros                              
long op: 30745.0 micros                              
long op: 46086.0 micros                              
long op: 2933380.0 micros                              
long op: 25546.0 micros                              
long op: 23107.0 micros                              
long op: 20312.0 micros                              
long op: 32516.0 micros                              
long op: 20543.0 micros                              
long op: 33486.0 micros                              
long op: 26714.0 micros                              
... finished 250000 ops                              
long op: 20158.0 micros                              
long op: 20955.0 micros                              
long op: 23561.0 micros                              
long op: 21252.0 micros                              
long op: 29324.0 micros                              
long op: 22897.0 micros                              
long op: 23115.0 micros                              
long op: 26985.0 micros                              
long op: 25312.0 micros                              
long op: 22226.0 micros                              
long op: 28942.0 micros                              
long op: 38511.0 micros                              
long op: 20882.0 micros                              
long op: 31676.0 micros                              
long op: 40088.0 micros                              
long op: 24083.0 micros                              
long op: 29859.0 micros                              
long op: 27972.0 micros                              
long op: 37871.0 micros                              
long op: 26619.0 micros                              
long op: 38425.0 micros                              
long op: 39841.0 micros                              
long op: 38331.0 micros                              
long op: 28665.0 micros                              
long op: 29185.0 micros                              
long op: 24743.0 micros                              
long op: 21548.0 micros                              
long op: 30598.0 micros                              
long op: 30086.0 micros                              
long op: 36844.0 micros                              
long op: 27528.0 micros                              
long op: 24826.0 micros                              
long op: 22791.0 micros                              
long op: 22184.0 micros                              
long op: 36413.0 micros                              
long op: 29468.0 micros                              
long op: 20434.0 micros                              
long op: 26752.0 micros                              
long op: 2934336.0 micros                              
long op: 27619.0 micros                              
long op: 23982.0 micros                              
long op: 21301.0 micros                              
long op: 29243.0 micros                              
long op: 34670.0 micros                              
long op: 25654.0 micros                              
long op: 27425.0 micros                              
long op: 132181.0 micros                              
long op: 26033.0 micros                              
long op: 21487.0 micros                              
long op: 68784.0 micros                              
long op: 21061.0 micros                              
long op: 25616.0 micros                              
long op: 24774.0 micros                              
long op: 24198.0 micros                              
long op: 30940.0 micros                              
long op: 39945.0 micros                              
long op: 22489.0 micros                              
long op: 2929730.0 micros                              
long op: 27056.0 micros                              
long op: 56683.0 micros                              
long op: 24796.0 micros                              
long op: 20079.0 micros                              
... finished 300000 ops                              
long op: 22756.0 micros                              
long op: 26457.0 micros                              
long op: 30001.0 micros                              
long op: 21847.0 micros                              
long op: 76601.0 micros                              
long op: 20726.0 micros                              
long op: 20104.0 micros                              
long op: 23071.0 micros                              
long op: 21733.0 micros                              
long op: 26782.0 micros                              
long op: 30011.0 micros                              
long op: 28437.0 micros                              
long op: 27654.0 micros                              
long op: 32167.0 micros                              
long op: 38197.0 micros                              
long op: 36000.0 micros                              
long op: 24759.0 micros                              
long op: 28797.0 micros                              
long op: 27958.0 micros                              
long op: 28568.0 micros                              
long op: 25232.0 micros                              
long op: 20788.0 micros                              
long op: 28454.0 micros                              
long op: 33027.0 micros                              
long op: 20889.0 micros                              
long op: 37463.0 micros                              
long op: 21052.0 micros                              
long op: 20226.0 micros                              
long op: 27176.0 micros                              
long op: 40538.0 micros                              
long op: 23633.0 micros                              
long op: 39035.0 micros                              
long op: 29896.0 micros                              
long op: 34057.0 micros                              
long op: 22394.0 micros                              
long op: 53418.0 micros                              
long op: 23285.0 micros                              
long op: 23045.0 micros                              
long op: 30277.0 micros                              
long op: 22345.0 micros                              
long op: 2941810.0 micros                              
long op: 27078.0 micros                              
long op: 24165.0 micros                              
long op: 35943.0 micros                              
long op: 74477.0 micros                              
long op: 26148.0 micros                              
long op: 37680.0 micros                              
long op: 21683.0 micros                              
long op: 72593.0 micros                              
long op: 43856.0 micros                              
long op: 23940.0 micros                              
long op: 30379.0 micros                              
long op: 41047.0 micros                              
long op: 21632.0 micros                              
long op: 42177.0 micros                              
long op: 28879.0 micros                              
long op: 20279.0 micros                              
long op: 53205.0 micros                              
long op: 26974.0 micros                              
long op: 46091.0 micros                              
long op: 21185.0 micros                              
long op: 23363.0 micros                              
long op: 39760.0 micros                              
long op: 29465.0 micros                              
long op: 21949.0 micros                              
long op: 27524.0 micros                              
long op: 2936954.0 micros                              
long op: 20436.0 micros                              
long op: 25193.0 micros                              
long op: 29669.0 micros                              
long op: 20800.0 micros                              
long op: 22780.0 micros                              
long op: 20767.0 micros                              
long op: 33618.0 micros                              
long op: 26308.0 micros                              
long op: 33621.0 micros                              
long op: 20005.0 micros                              
... finished 350000 ops                              
long op: 101425.0 micros                              
long op: 42175.0 micros                              
long op: 899843.0 micros                              
long op: 67650.0 micros                              
long op: 22940.0 micros                              
long op: 2936026.0 micros                              
long op: 25198.0 micros                              
long op: 27229.0 micros                              
long op: 43730.0 micros                              
long op: 34646.0 micros                              
long op: 29614.0 micros                              
long op: 99625.0 micros                              
long op: 20229.0 micros                              
long op: 24976.0 micros                              
long op: 31075.0 micros                              
long op: 24698.0 micros                              
long op: 23617.0 micros                              
long op: 33181.0 micros                              
long op: 20130.0 micros                              
long op: 30314.0 micros                              
long op: 24560.0 micros                              
long op: 43860.0 micros                              
long op: 26061.0 micros                              
long op: 30802.0 micros                              
long op: 23755.0 micros                              
long op: 23995.0 micros                              
long op: 24073.0 micros                              
long op: 31481.0 micros                              
long op: 20902.0 micros                              
long op: 34003.0 micros                              
long op: 23478.0 micros                              
long op: 25509.0 micros                              
long op: 28923.0 micros                              
long op: 25181.0 micros                              
long op: 28758.0 micros                              
long op: 29797.0 micros                              
long op: 29676.0 micros                              
long op: 20198.0 micros                              
long op: 30544.0 micros                              
long op: 27766.0 micros                              
long op: 31995.0 micros                              
long op: 23248.0 micros                              
long op: 26248.0 micros                              
long op: 29478.0 micros                              
long op: 21162.0 micros                              
long op: 20362.0 micros                              
long op: 31093.0 micros                              
long op: 41458.0 micros                              
long op: 26193.0 micros                              
long op: 2940170.0 micros                              
long op: 32245.0 micros                              
long op: 29620.0 micros                              
long op: 24189.0 micros                              
long op: 36312.0 micros                              
long op: 34791.0 micros                              
long op: 28610.0 micros                              
long op: 37227.0 micros                              
long op: 27167.0 micros                              
long op: 60570.0 micros                              
long op: 37301.0 micros                              
long op: 28306.0 micros                              
long op: 66152.0 micros                              
long op: 23392.0 micros                              
long op: 20175.0 micros                              
long op: 20421.0 micros                              
long op: 21573.0 micros                              
long op: 21010.0 micros                              
long op: 816184.0 micros                              
... finished 400000 ops                              
long op: 40284.0 micros                              
long op: 38484.0 micros                              
long op: 32795.0 micros                              
long op: 36439.0 micros                              
long op: 22136.0 micros                              
long op: 64850.0 micros                              
long op: 31366.0 micros                              
long op: 57623.0 micros                              
long op: 24703.0 micros                              
long op: 30959.0 micros                              
long op: 23226.0 micros                              
long op: 27086.0 micros                              
long op: 30524.0 micros                              
long op: 54802.0 micros                              
long op: 22589.0 micros                              
long op: 26242.0 micros                              
long op: 2938379.0 micros                              
long op: 31615.0 micros                              
long op: 33054.0 micros                              
long op: 23024.0 micros                              
long op: 25663.0 micros                              
long op: 26650.0 micros                              
long op: 22532.0 micros                              
long op: 25929.0 micros                              
long op: 87634.0 micros                              
long op: 28113.0 micros                              
long op: 21390.0 micros                              
long op: 28162.0 micros                              
long op: 28613.0 micros                              
long op: 23081.0 micros                              
long op: 25992.0 micros                              
long op: 23752.0 micros                              
long op: 24405.0 micros                              
long op: 24765.0 micros                              
long op: 31697.0 micros                              
long op: 30517.0 micros                              
long op: 37539.0 micros                              
long op: 22245.0 micros                              
long op: 27541.0 micros                              
long op: 29272.0 micros                              
long op: 23273.0 micros                              
long op: 32271.0 micros                              
long op: 31318.0 micros                              
long op: 62132.0 micros                              
long op: 25332.0 micros                              
long op: 34358.0 micros                              
long op: 21584.0 micros                              
long op: 91732.0 micros                              
long op: 25292.0 micros                              
long op: 22236.0 micros                              
long op: 24892.0 micros                              
long op: 28851.0 micros                              
long op: 31054.0 micros                              
long op: 37073.0 micros                              
long op: 24502.0 micros                              
long op: 21316.0 micros                              
long op: 30902.0 micros                              
long op: 40535.0 micros                              
long op: 20172.0 micros                              
long op: 28986.0 micros                              
long op: 29006.0 micros                              
long op: 25662.0 micros                              
long op: 22940.0 micros                              
long op: 42577.0 micros                              
long op: 40522.0 micros                              
long op: 23587.0 micros                              
long op: 20109.0 micros                              
long op: 38108.0 micros                              
long op: 2937817.0 micros                              
long op: 38901.0 micros                              
long op: 20137.0 micros                              
long op: 30539.0 micros                              
long op: 25134.0 micros                              
long op: 25232.0 micros                              
long op: 34121.0 micros                              
long op: 20921.0 micros                              
long op: 2261047.0 micros                              
long op: 20306.0 micros                              
... finished 450000 ops                              
long op: 22319.0 micros                              
long op: 23085.0 micros                              
long op: 37305.0 micros                              
long op: 2932570.0 micros                              
long op: 37802.0 micros                              
long op: 22224.0 micros                              
long op: 45765.0 micros                              
long op: 21031.0 micros                              
long op: 21134.0 micros                              
long op: 26508.0 micros                              
long op: 28014.0 micros                              
long op: 27153.0 micros                              
long op: 23636.0 micros                              
long op: 28241.0 micros                              
long op: 25698.0 micros                              
long op: 26521.0 micros                              
long op: 29360.0 micros                              
long op: 23612.0 micros                              
long op: 29649.0 micros                              
long op: 23866.0 micros                              
long op: 28379.0 micros                              
long op: 29350.0 micros                              
long op: 25794.0 micros                              
long op: 20973.0 micros                              
long op: 21721.0 micros                              
long op: 87056.0 micros                              
long op: 28332.0 micros                              
long op: 22566.0 micros                              
long op: 32583.0 micros                              
long op: 28472.0 micros                              
long op: 26175.0 micros                              
long op: 26640.0 micros                              
long op: 24693.0 micros                              
long op: 37025.0 micros                              
long op: 38171.0 micros                              
long op: 29367.0 micros                              
long op: 23416.0 micros                              
long op: 36135.0 micros                              
long op: 22554.0 micros                              
long op: 56885.0 micros                              
long op: 24977.0 micros                              
long op: 23221.0 micros                              
long op: 137062.0 micros                              
long op: 24963.0 micros                              
long op: 24455.0 micros                              
long op: 44112.0 micros                              
long op: 2904666.0 micros                              
long op: 30827.0 micros                              
long op: 17693511.0 micros                              
long op: 28195.0 micros                              
long op: 53737.0 micros                              
long op: 25907.0 micros                              
long op: 720956.0 micros                              
long op: 62804.0 micros                              
long op: 84043.0 micros                              
long op: 23377.0 micros                              
long op: 30339.0 micros                              
long op: 101309.0 micros                              
long op: 39512.0 micros                              
long op: 2936069.0 micros                              
long op: 23085.0 micros                              
long op: 33251.0 micros                              
long op: 61599.0 micros                              
long op: 52057.0 micros                              
... finished 500000 ops                              
long op: 25672.0 micros                              
long op: 45134.0 micros                              
long op: 40312.0 micros                              
long op: 26122.0 micros                              
long op: 38014.0 micros                              
long op: 66937.0 micros                              
long op: 26634.0 micros                              
long op: 24011.0 micros                              
long op: 25926.0 micros                              
long op: 21106.0 micros                              
long op: 55374.0 micros                              
long op: 3051902.0 micros                              
long op: 58632.0 micros                              
long op: 24915.0 micros                              
long op: 110682.0 micros                              
long op: 24495.0 micros                              
long op: 23536.0 micros                              
long op: 2949684.0 micros                              
long op: 72147.0 micros                              
long op: 28022.0 micros                              
long op: 22709.0 micros                              
long op: 24900.0 micros                              
long op: 32185354.0 micros                              
long op: 40702.0 micros                              
long op: 24021.0 micros                              
long op: 2936256.0 micros                              
long op: 151704.0 micros                              
long op: 23485.0 micros                              
long op: 21631.0 micros                              
long op: 27863.0 micros                              
long op: 21147.0 micros                              
long op: 22814.0 micros                              
long op: 34019.0 micros                              
long op: 20089.0 micros                              
long op: 20247.0 micros                              
long op: 59982.0 micros                              
long op: 24291.0 micros                              
long op: 26751.0 micros                              
long op: 20209.0 micros                              
long op: 27688.0 micros                              
long op: 82660.0 micros                              
long op: 21469.0 micros                              
long op: 46066.0 micros                              
long op: 3532218.0 micros                              
long op: 104356.0 micros                              
long op: 51738.0 micros                              
long op: 33309.0 micros                              
long op: 25976.0 micros                              
long op: 40306.0 micros                              
long op: 20804.0 micros                              
long op: 21843.0 micros                              
long op: 23289.0 micros                              
long op: 3586584.0 micros                              
long op: 35650.0 micros                              
long op: 58500.0 micros                              
long op: 21259.0 micros                              
long op: 38739.0 micros                              
long op: 53945.0 micros                              
long op: 99083.0 micros                              
long op: 50775.0 micros                              
long op: 3587302.0 micros                              
long op: 90176404.0 micros                              
long op: 75587.0 micros                              
long op: 3583822.0 micros                              
long op: 105866.0 micros                              
long op: 20515.0 micros                              
long op: 21083.0 micros                              
long op: 28332.0 micros                              
long op: 85633.0 micros                              
long op: 45994.0 micros                              
long op: 54629.0 micros                              
long op: 79609.0 micros                              
long op: 21348.0 micros                              
long op: 45528.0 micros                              
long op: 33797.0 micros                              
long op: 20900.0 micros                              
long op: 110357.0 micros                              
long op: 20875.0 micros                              
long op: 23204.0 micros                              
long op: 5279198.0 micros                              
long op: 27332.0 micros                              
long op: 32430.0 micros                              
long op: 21672.0 micros                              
long op: 20151.0 micros                              
long op: 40220.0 micros                              
long op: 47385.0 micros                              
long op: 60036.0 micros                              
... finished 600000 ops                              
long op: 22399.0 micros                              
long op: 32100.0 micros                              
long op: 57624.0 micros                              
long op: 3592607.0 micros                              
long op: 95025.0 micros                              
long op: 92095.0 micros                              
long op: 22611.0 micros                              
long op: 21477.0 micros                              
long op: 44511.0 micros                              
long op: 30297970.0 micros                              
long op: 22768.0 micros                              
long op: 24164.0 micros                              
long op: 23249.0 micros                              
long op: 20690.0 micros                              
long op: 24545.0 micros                              
long op: 29906.0 micros                              
long op: 21561.0 micros                              
long op: 3580437.0 micros                              
long op: 85039.0 micros                              
long op: 20992.0 micros                              
long op: 24016.0 micros                              
long op: 49986.0 micros                              
long op: 27790.0 micros                              
long op: 24895.0 micros                              
long op: 49884.0 micros                              
long op: 73359.0 micros                              
long op: 35738.0 micros                              
long op: 47935.0 micros                              
long op: 27860.0 micros                              
long op: 3604621.0 micros                              
long op: 78733.0 micros                              
long op: 30912.0 micros                              
long op: 66889.0 micros                              
long op: 46339.0 micros                              
long op: 25357.0 micros                              
long op: 23463.0 micros                              
long op: 20232.0 micros                              
long op: 33384.0 micros                              
long op: 29647.0 micros                              
long op: 34045.0 micros                              
long op: 35082.0 micros                              
long op: 27435.0 micros                              
long op: 34739.0 micros                              
long op: 153045.0 micros                              
long op: 37869.0 micros                              
long op: 3597758.0 micros                              
long op: 60966.0 micros                              
long op: 28328.0 micros                              
long op: 73625.0 micros                              
long op: 23251.0 micros                              
long op: 41544.0 micros                              
long op: 136474.0 micros                              
long op: 28213.0 micros                              
long op: 27230.0 micros                              
long op: 129470.0 micros                              
long op: 22338.0 micros                              
long op: 3589911.0 micros                              
long op: 41928338.0 micros                              
long op: 29710.0 micros                              
long op: 21645.0 micros                              
long op: 29453.0 micros                              
long op: 24825.0 micros                              
long op: 48945.0 micros                              
long op: 55815.0 micros                              
long op: 27793.0 micros                              
long op: 30589.0 micros                              
long op: 27788.0 micros                              
long op: 20195.0 micros                              
long op: 29328.0 micros                              
long op: 26278.0 micros                              
long op: 57445.0 micros                              
long op: 20650.0 micros                              
long op: 21843.0 micros                              
long op: 23773.0 micros                              
long op: 21699.0 micros                              
long op: 23625.0 micros                              
long op: 3584855.0 micros                              
long op: 28269.0 micros                              
long op: 27341.0 micros                              
long op: 42210.0 micros                              
long op: 24270.0 micros                              
long op: 20262.0 micros                              
long op: 44254.0 micros                              
long op: 32280.0 micros                              
long op: 22921.0 micros                              
long op: 103073.0 micros                              
long op: 27081.0 micros                              
long op: 23131.0 micros                              
long op: 52075.0 micros                              
long op: 45608.0 micros                              
long op: 37278.0 micros                              
long op: 23922.0 micros                              
long op: 27249.0 micros                              
long op: 49939.0 micros                              
long op: 24662.0 micros                              
long op: 20965.0 micros                              
long op: 3591938.0 micros                              
long op: 71617.0 micros                              
long op: 89691.0 micros                              
long op: 56231.0 micros                              
long op: 105277.0 micros                              
long op: 20189.0 micros                              
long op: 29603.0 micros                              
long op: 36484.0 micros                              
long op: 25671.0 micros                              
long op: 3586237.0 micros                              
long op: 27816.0 micros                              
long op: 62601.0 micros                              
long op: 21614.0 micros                              
long op: 26036.0 micros                              
long op: 27717.0 micros                              
long op: 23952.0 micros                              
long op: 65578.0 micros                              
long op: 53910.0 micros                              
long op: 21517.0 micros                              
long op: 74672.0 micros                              
long op: 25886.0 micros                              
... finished 700000 ops                              
long op: 68770127.0 micros                              
long op: 21959.0 micros                              
long op: 34249.0 micros                              
long op: 59975.0 micros                              
long op: 43609.0 micros                              
long op: 3585870.0 micros                              
long op: 23846.0 micros                              
long op: 56557.0 micros                              
long op: 25016.0 micros                              
long op: 23877.0 micros                              
long op: 390647.0 micros                              
long op: 26061.0 micros                              
long op: 104647.0 micros                              
long op: 50113.0 micros                              
long op: 22464.0 micros                              
long op: 23791.0 micros                              
long op: 76435.0 micros                              
long op: 65760.0 micros                              
long op: 58197.0 micros                              
long op: 3583971.0 micros                              
long op: 21524.0 micros                              
long op: 111357.0 micros                              
long op: 103735.0 micros                              
long op: 24737.0 micros                              
long op: 70545.0 micros                              
long op: 20597.0 micros                              
long op: 23401.0 micros                              
long op: 90125.0 micros                              
long op: 21972.0 micros                              
long op: 38283.0 micros                              
long op: 48064.0 micros                              
long op: 39389.0 micros                              
long op: 26708.0 micros                              
long op: 20410.0 micros                              
long op: 24785.0 micros                              
long op: 20221.0 micros                              
long op: 3587358.0 micros                              
long op: 101233.0 micros                              
long op: 29718.0 micros                              
long op: 23330.0 micros                              
long op: 21520.0 micros                              
long op: 22487.0 micros                              
long op: 36619.0 micros                              
long op: 22316.0 micros                              
long op: 20256.0 micros                              
long op: 30256.0 micros                              
long op: 42383.0 micros                              
long op: 29324.0 micros                              
long op: 29962.0 micros                              
long op: 20389.0 micros                              
long op: 21952.0 micros                              
long op: 36366.0 micros                              
long op: 29918.0 micros                              
long op: 23500.0 micros                              
long op: 29424.0 micros                              
long op: 20739.0 micros                              
long op: 23261.0 micros                              
long op: 24933.0 micros                              
long op: 29234.0 micros                              
long op: 23046.0 micros                              
long op: 25131.0 micros                              
long op: 24464.0 micros                              
long op: 26812.0 micros                              
long op: 26565.0 micros                              
long op: 21741.0 micros                              
long op: 31478.0 micros                              
long op: 22043.0 micros                              
long op: 24594.0 micros                              
long op: 29204.0 micros                              
long op: 27660.0 micros                              
long op: 28821.0 micros                              
long op: 26604.0 micros                              
long op: 24783.0 micros                              
long op: 21373.0 micros                              
long op: 24141.0 micros                              
long op: 26958.0 micros                              
long op: 30924.0 micros                              
long op: 25394.0 micros                              
long op: 33300.0 micros                              
long op: 33173.0 micros                              
long op: 23311.0 micros                              
long op: 26693.0 micros                              
long op: 26018.0 micros                              
long op: 30649.0 micros                              
long op: 23160.0 micros                              
long op: 32864.0 micros                              
long op: 27955.0 micros                              
long op: 20132.0 micros                              
long op: 32514.0 micros                              
long op: 23492.0 micros                              
long op: 26845.0 micros                              
long op: 30224.0 micros                              
long op: 30922.0 micros                              
long op: 28424.0 micros                              
long op: 20065.0 micros                              
long op: 31399.0 micros                              
long op: 17882501.0 micros                              
long op: 46537.0 micros                              
long op: 20932.0 micros                              
long op: 27547.0 micros                              
long op: 21412.0 micros                              
long op: 21362.0 micros                              
long op: 27607.0 micros                              
long op: 24263.0 micros                              
long op: 39172.0 micros                              
long op: 27393.0 micros                              
long op: 21546.0 micros                              
long op: 29344.0 micros                              
long op: 28928.0 micros                              
long op: 26300.0 micros                              
long op: 29324.0 micros                              
long op: 24831.0 micros                              
long op: 24905.0 micros                              
long op: 22855.0 micros                              
long op: 44133.0 micros                              
long op: 20187.0 micros                              
long op: 21730.0 micros                              
long op: 24713.0 micros                              
long op: 20602.0 micros                              
long op: 30405.0 micros                              
long op: 23263.0 micros                              
long op: 22193.0 micros                              
long op: 33756.0 micros                              
long op: 33848.0 micros                              
long op: 27295.0 micros                              
long op: 35213.0 micros                              
long op: 25703.0 micros                              
long op: 26052.0 micros                              
long op: 30762.0 micros                              
long op: 22067.0 micros                              
long op: 215808.0 micros                              
long op: 23403.0 micros                              
long op: 38672.0 micros                              
long op: 25174.0 micros                              
long op: 36131.0 micros                              
long op: 23495.0 micros                              
long op: 26296.0 micros                              
long op: 22148.0 micros                              
long op: 28173.0 micros                              
long op: 41498.0 micros                              
long op: 26071.0 micros                              
long op: 20225.0 micros                              
long op: 20250.0 micros                              
long op: 24701.0 micros                              
long op: 26984.0 micros                              
long op: 31679.0 micros                              
long op: 22954.0 micros                              
long op: 22646.0 micros                              
long op: 20001.0 micros                              
long op: 20419.0 micros                              
long op: 21345.0 micros                              
long op: 20278.0 micros                              
long op: 27537.0 micros                              
long op: 30868.0 micros                              
long op: 23858.0 micros                              
long op: 24136.0 micros                              
long op: 22162.0 micros                              
long op: 25264.0 micros                              
long op: 22778.0 micros                              
long op: 34919.0 micros                              
long op: 32377.0 micros                              
long op: 41271.0 micros                              
long op: 30382.0 micros                              
long op: 21904.0 micros                              
long op: 25490.0 micros                              
long op: 21330.0 micros                              
long op: 21939.0 micros                              
long op: 20390.0 micros                              
long op: 2908378.0 micros                              
long op: 56430.0 micros                              
long op: 20504.0 micros                              
long op: 24229.0 micros                              
long op: 26846.0 micros                              
long op: 24173.0 micros                              
long op: 31738.0 micros                              
long op: 21716.0 micros                              
long op: 37914.0 micros                              
long op: 28356.0 micros                              
long op: 51080.0 micros                              
long op: 24798.0 micros                              
long op: 27096.0 micros                              
long op: 27441.0 micros                              
long op: 93729.0 micros                              
long op: 21980.0 micros                              
long op: 22173.0 micros                              
long op: 23022.0 micros                              
long op: 31251.0 micros                              
long op: 73230.0 micros                              
long op: 20780.0 micros                              
long op: 38432.0 micros                              
long op: 43740.0 micros                              
long op: 34111.0 micros                              
long op: 24699.0 micros                              
long op: 2966210.0 micros                              
long op: 24412.0 micros                              
long op: 23742.0 micros                              
long op: 37159.0 micros                              
long op: 32425.0 micros                              
long op: 31788.0 micros                              
long op: 24070.0 micros                              
long op: 20278.0 micros                              
long op: 30782.0 micros                              
long op: 27121.0 micros                              
long op: 28993.0 micros                              
long op: 27920.0 micros                              
long op: 21565.0 micros                              
long op: 26844.0 micros                              
long op: 29205.0 micros                              
long op: 31544.0 micros                              
long op: 24653.0 micros                              
long op: 24347.0 micros                              
long op: 27906.0 micros                              
long op: 25063.0 micros                              
long op: 31004.0 micros                              
long op: 30650.0 micros                              
long op: 23457.0 micros                              
long op: 27604.0 micros                              
long op: 34039.0 micros                              
long op: 29010.0 micros                              
long op: 23199.0 micros                              
long op: 31190.0 micros                              
long op: 30863.0 micros                              
long op: 23240.0 micros                              
long op: 30835.0 micros                              
long op: 43938.0 micros                              
long op: 29462.0 micros                              
long op: 25195.0 micros                              
long op: 23998.0 micros                              
long op: 21839.0 micros                              
long op: 25179.0 micros                              
long op: 17087414.0 micros                              
long op: 22486.0 micros                              
long op: 37016.0 micros                              
long op: 36022.0 micros                              
long op: 22546.0 micros                              
long op: 23807.0 micros                              
long op: 26511.0 micros                              
long op: 24324.0 micros                              
... finished 800000 ops                              
long op: 558119.0 micros                              
long op: 45015.0 micros                              
long op: 20945.0 micros                              
long op: 33356.0 micros                              
long op: 199552.0 micros                              
long op: 28661.0 micros                              
long op: 21628.0 micros                              
long op: 44934.0 micros                              
long op: 23344.0 micros                              
long op: 20403.0 micros                              
